BondCode,BondName,Issuer,Term,CreditRating
111015,01三峡10,中国长江电力股份有限公司,10,AAA
111016,01广核债,中国广核集团有限公司,7,AAA
111017,02电网3,国家电力公司,3,AAA
111018,02电网15,国家电力公司,15,AAA
111019,02广核债,中国广核集团有限公司,15,AAA
111020,03华能1,中国华能集团公司,10,AAA
111021,03华能2,中国华能集团公司,10,AAA
111022,04首旅债,北京首都旅游集团有限责任公司,10,AAA
111024,04华电1,中国华电集团公司,10,AAA
111025,04华电2,中国华电集团公司,10,AAA
111026,05粤交通,广东省交通集团有限公司,15,AAA
111027,03石油债,中国石油天然气股份有限公司,10,AAA
111028,05神华债,神华集团有限责任公司,7,AAA
111029,06豫投债,河南投资集团有限公司,10,AAA
111030,05泰达债,天津泰达投资控股有限公司,10,AAA
111031,06鄂能债,湖北省能源集团有限公司,10,AAA
111032,06鲁能债,鲁能集团有限公司,15,AAA
111035,06节能债,中国节能环保集团公司,10,AAA
111037,08昆建债,昆明市城建投资开发有限责任公司,5,AA
111038,08西基投,西安城市基础设施建设投资集团有限公司,5,AA
111039,ST奈伦债,内蒙古奈伦集团股份有限公司,7,AA
111040,08甬交投,宁波交通投资控股有限公司,5,AA
111041,08铁岭债,铁岭公共资产投资运营有限公司,7,AA
111042,08嘉城投,嘉兴城市建设投资有限公司,7,AA+
111043,08湘有色,湖南有色金属控股集团有限公司,10,AA+
111044,08吉高速,吉林省高速公路集团有限公司,5,AA
111045,08西城投,西宁城市投资管理有限公司,7,AA
111046,08东特债,东北特殊钢集团有限责任公司,7,AA
111047,08长兴债,长兴交通投资集团有限公司,7,AA
111048,09渝水投,重庆市水利投资(集团)有限公司,7,AA
111049,09绍水务,绍兴市水务集团有限公司,7,AA+
111050,09华菱债,湖南华菱钢铁集团有限责任公司,10,AA+
111051,09怀化债,怀化市城市建设投资有限公司,10,AA
111052,09哈城投,哈尔滨市城市建设投资集团有限公司,10,AA
111053,09许继债,许继集团有限公司,6,AA
111055,09华西债,江苏华西集团公司,7,AA
111056,09湖交投,湖州市交通投资集团有限公司,7,AA+
111057,09兖城投,济宁市兖州区惠民城建投资有限公司,7,AA
111058,09黄城投,黄石市城市建设投资开发有限责任公司,8,AA+
111059,09宿建投,宿州市城市建设投资集团(控股)有限公司,7,AA+
111060,10佳城投,佳木斯市新时代城市基础设施建设投资(集团)有限公司,7,AA+
111062,10并高铁,太原市高速铁路投资有限公司,10,AA+
111063,11富阳债,富阳市城市建设投资集团有限公司,7,AA
111064,ST长交债,长兴交通投资集团有限公司,7,AA
111068,16清新G1,北京清新环境技术股份有限公司,5,AA
111069,16格林G1,格林美股份有限公司,7,AA
111070,17恒逸01,浙江恒逸集团有限公司,7,AA
111071,18河钢G1,河钢股份有限公司,5,AAA
111072,18美尚01,美尚生态景观股份有限公司,7,AAA
111073,18投控01,深圳市投资控股有限公司,10,AAA
111074,18投控02,深圳市投资控股有限公司,5,AAA
111075,18亚迪G1,比亚迪股份有限公司,5,AAA
111076,19新兴G1,新兴铸管股份有限公司,5,AA+
111077,19深能G1,深圳能源集团股份有限公司,10,AAA
111078,19新兴G2,新兴铸管股份有限公司,5,AA+
111079,19恒逸债,浙江恒逸集团有限公司,7,AA+
111080,18恒逸债,浙江恒逸集团有限公司,7,AA+
111081,19兴蓉G1,成都市兴蓉环境股份有限公司,5,AAA
111082,19木森G1,木林森股份有限公司,5,AA
111083,19亚迪G1,比亚迪股份有限公司,5,AAA
111084,19深能G2,深圳能源集团股份有限公司,10,AAA
111085,19芜专01,芜湖市投资控股集团有限公司,7,AA+
111086,19华发债,珠海华发集团有限公司,10,AAA
111087,19兴蓉G2,成都市兴蓉环境股份有限公司,5,AAA
111088,20华发债,珠海华发集团有限公司,10,AAA
111089,20芜专01,芜湖市投资控股集团有限公司,7,AA+
111090,20SZMC01,深圳市地铁集团有限公司,7,AAA
111091,20SZMC02,深圳市地铁集团有限公司,3,AAA
111092,20SZMC03,深圳市地铁集团有限公司,3,AAA
111093,20珠华02,珠海华发集团有限公司,10,AAA
111094,20SZMC04,深圳市地铁集团有限公司,3,AAA
111095,20SZMC05,深圳市地铁集团有限公司,3,AAA
111096,20SZMC06,深圳市地铁集团有限公司,3,AAA
111097,20SZMC07,深圳市地铁集团有限公司,3,AAA
111098,20桂资01,广西投资集团有限公司,5,AAA
111099,20SZMC08,深圳市地铁集团有限公司,3,AAA
111100,20川交01,蜀道投资集团有限责任公司,5,AAA
111101,21SZMC01,深圳市地铁集团有限公司,3,AAA
111102,21SZMC02,深圳市地铁集团有限公司,5,AAA
111103,21粤能01,广东省能源集团有限公司,3,AAA
111104,21SZMC03,深圳市地铁集团有限公司,3,AAA
111105,21SZMC04,深圳市地铁集团有限公司,5,AAA
111106,21SZMC05,深圳市地铁集团有限公司,3,AAA
